7828,8.25,15.25,179.6.8.120,ROLIN-01,2025-04-09 16:16:58
7829,8.00,15.25,179.6.8.120,ROLIN-01,2025-04-09 16:17:57
7830,8.50,15.25,179.6.8.120,ROLIN-01,2025-04-09 16:18:57
7831,8.75,15.25,179.6.8.120,ROLIN-01,2025-04-09 16:20:57
7832,8.50,15.25,179.6.8.120,ROLIN-01,2025-04-09 16:21:57
7833,9.00,15.50,179.6.8.120,ROLIN-01,2025-04-09 16:22:57
7834,8.25,15.00,179.6.8.120,ROLIN-01,2025-04-09 16:23:57
7835,8.75,15.25,179.6.8.120,ROLIN-01,2025-04-09 16:24:57
7836,8.50,15.25,179.6.8.120,ROLIN-01,2025-04-09 16:25:56
7837,9.00,14.75,179.6.8.120,ROLIN-01,2025-04-09 16:26:56
7838,8.50,15.00,179.6.8.120,ROLIN-01,2025-04-09 16:27:56
7839,8.25,15.00,179.6.8.120,ROLIN-01,2025-04-09 16:28:56
7840,8.75,14.75,179.6.8.120,ROLIN-01,2025-04-09 16:29:55
7841,8.50,14.50,179.6.8.120,ROLIN-01,2025-04-09 16:30:55
7842,8.75,14.50,179.6.8.120,ROLIN-01,2025-04-09 16:31:55
7843,8.75,15.00,179.6.8.120,ROLIN-01,2025-04-09 16:32:55
7844,8.75,14.50,179.6.8.120,ROLIN-01,2025-04-09 16:33:55
7845,8.25,15.00,179.6.8.120,ROLIN-01,2025-04-09 16:34:54
7846,8.50,15.00,179.6.8.120,ROLIN-01,2025-04-09 16:35:54
7847,9.25,15.00,179.6.8.120,ROLIN-01,2025-04-09 16:36:54
7848,8.50,15.25,179.6.8.120,ROLIN-01,2025-04-09 16:37:54
7849,9.00,15.25,179.6.8.120,ROLIN-01,2025-04-09 16:38:54
7850,8.75,15.00,179.6.8.120,ROLIN-01,2025-04-09 16:39:53
7851,8.75,14.75,179.6.8.120,ROLIN-01,2025-04-09 16:40:53
7852,8.75,15.25,179.6.8.120,ROLIN-01,2025-04-09 16:41:53
7853,9.00,15.50,179.6.8.120,ROLIN-01,2025-04-09 16:42:53
7854,9.00,15.50,179.6.8.120,ROLIN-01,2025-04-09 16:43:53
7855,9.00,15.00,179.6.8.120,ROLIN-01,2025-04-09 16:44:52
7856,8.75,15.25,179.6.8.120,ROLIN-01,2025-04-09 16:45:52
7857,8.50,15.00,179.6.5.56,ROLIN-01,2025-04-09 16:46:52
7858,8.50,15.50,179.6.0.248,ROLIN-01,2025-04-09 16:47:52
7859,9.00,15.50,179.6.0.248,ROLIN-01,2025-04-09 16:48:52
7860,9.25,15.25,179.6.0.248,ROLIN-01,2025-04-09 16:49:52
7861,9.25,15.50,179.6.0.248,ROLIN-01,2025-04-09 16:50:51
7862,8.00,14.75,179.6.0.248,ROLIN-01,2025-04-09 16:51:51
7863,8.75,14.75,179.6.0.248,ROLIN-01,2025-04-09 16:52:51
7864,8.75,15.00,179.6.0.248,ROLIN-01,2025-04-09 16:53:51
7865,8.50,15.25,179.6.0.248,ROLIN-01,2025-04-09 16:54:51
7866,8.50,15.50,179.6.0.248,ROLIN-01,2025-04-09 16:55:50
7867,9.00,15.00,179.6.0.248,ROLIN-01,2025-04-09 16:56:50
7868,9.00,15.00,179.6.0.248,ROLIN-01,2025-04-09 16:57:50
7869,8.75,16.00,179.6.0.248,ROLIN-01,2025-04-09 16:58:50
7870,8.50,16.00,179.6.0.248,ROLIN-01,2025-04-09 16:59:50
7871,9.00,15.50,179.6.0.248,ROLIN-01,2025-04-09 17:00:49
7872,8.75,15.50,179.6.0.248,ROLIN-01,2025-04-09 17:01:49
7873,8.50,15.75,179.6.0.248,ROLIN-01,2025-04-09 17:02:49
7874,8.75,15.25,179.6.0.248,ROLIN-01,2025-04-09 17:03:49
7875,9.00,15.00,179.6.0.248,ROLIN-01,2025-04-09 17:04:49
7876,8.50,15.25,179.6.0.248,ROLIN-01,2025-04-09 17:05:49
7877,9.00,15.00,179.6.0.248,ROLIN-01,2025-04-09 17:06:49
7878,9.25,15.00,179.6.0.248,ROLIN-01,2025-04-09 17:07:48
7879,8.50,14.75,179.6.0.248,ROLIN-01,2025-04-09 17:08:48
7880,9.25,15.25,179.6.0.248,ROLIN-01,2025-04-09 17:09:48
7881,9.00,14.75,179.6.0.248,ROLIN-01,2025-04-09 17:10:48
7882,9.25,15.00,179.6.0.248,ROLIN-01,2025-04-09 17:11:48
7883,9.00,14.50,179.6.0.248,ROLIN-01,2025-04-09 17:12:47
7884,8.75,14.75,179.6.0.248,ROLIN-01,2025-04-09 17:13:47
7885,9.25,14.75,179.6.0.248,ROLIN-01,2025-04-09 17:14:47
7886,8.50,14.50,179.6.0.248,ROLIN-01,2025-04-09 17:15:47
7887,9.25,14.25,179.6.0.248,ROLIN-01,2025-04-09 17:16:47
7888,9.25,14.75,179.6.0.248,ROLIN-01,2025-04-09 17:17:46
7889,9.50,15.25,179.6.0.248,ROLIN-01,2025-04-09 17:18:47
7890,8.75,14.75,179.6.0.248,ROLIN-01,2025-04-09 17:19:47
